功效,组成,适应证,按语,方源,制作,药名,编号,分类
温阳补肾，祛风燥湿。,蛇床子100g。,用于阳痿，宫冷，寒湿带下，湿痹腰痛等。,《本草经疏》云：“蛇床子，味苦平；《本草别录》辛甘无毒；今详其气味，当必兼温燥，阳也。故主妇人阴中肿痛，男子阴痿湿痒，除痹气，利关节，恶疮。《本草别录》温中下气，令妇人子脏热，男子阴强，令人有子。盖以苦能除湿，温能散寒，辛能润肾，甘能益脾，故能除妇人男子一切虚寒湿所生病。寒湿既除，则病去，性能益阳，故能已疾，而又有补益也。”外治外阴湿疹，妇人阴痒，滴虫性阴道炎。本方代茶温饮，不拘时常服，冲饮至味淡。注意:下焦有湿热，或肾阴不足、相火易动以及精关不固者忌服。,经验方。,将蛇床子碾碎后，放入杯中，用沸水冲泡片刻即成。,蛇床子茶,748,内科-阳痿早泄遗精
补肾壮阳，祛风除湿，催淫，镇咳，祛痰，平喘，降压。,淫羊霍5g，红茶3g。,男子阳痿不举、遗精，小便淋漓，筋脉拘挛，半身不遂，腰膝无力，风湿痹痛。,淫羊霍味辛、甘，性温。具有性激素样作用；其制剂能明显增加动物离体心脏及体内心脏的冠脉流量，又能扩张外周血管，增加肢端血流量，改善微循环；并具降压、抗菌、降血脂与降血糖及提高耐缺氧能力等药理作用。一般煎服，9~15g。具有补肾壮阳、祛风除湿的作用，用于肾阳虚衰引起的阳痿、尿频、腰膝无力、风寒湿痹或肢体麻木等。本方代茶温饮，不拘时常服，冲饮至味淡。但需注意，阴虚火旺者不宜服。,经验方。,将淫羊霍洗净后切细，放入杯中，用200ml开水冲泡片刻即成。,淫羊藿茶,749,内科-阳痿早泄遗精
温肾壮阳。,淫羊霍5g，肉苁蓉3g，红茶3g。,肾阳虚所致阳痿、肢冷、宫寒不孕、女子性欲低下、遗精。,肉苁蓉的水提液能显著增加小鼠脾脏和胸腺的重量，增强腹腔巨噬细胞的吞噬能力，并有调整内分泌代谢及强壮、抗衰老与降压的药理作用。一般煎服，10~20g。中医认为其具有补肾益精、润肠通便的作用，用于阳痿、不孕、腰膝冷痛、筋骨无力或肠燥津枯之大便秘结者。淫羊霍补肾壮阳、祛风除湿。两药合用，温肾壮阳作用较好。本方代茶温饮，不拘时常服，冲饮至味淡。但需注意，阴虚火旺及大便泄泻、实热便秘者忌用。,经验方。,将前两味洗净后，放入砂锅，加水煎煮后去渣取汁，再以之冲泡红茶即成。,淫蓉茶,750,内科-阳痿早泄遗精
补脾益肾。,锁阳5g，党参3g，山药3g，覆盆子2g，红茶3g。,脾肾气虚所致阳痿、早泄、带下、遗精、遗尿、便溏等。,锁阳味甘，性温，补肾阳、益精血、润肠通便。党参性平，味甘，补中益气、健脾益肺，为最常用的补中益气药。山药味甘，性平，补脾养胃、生津益肺、补肾涩精，为平补三焦之品。覆盆子味甘、酸，性平，具有雌激素样作用，补肝肾、缩小便、助阳、固精、明目，用于治阳痿、遗精、溲数、遗溺、虚劳、目暗。诸药合用，补脾益肾。本方代茶温饮，不拘时常服，冲饮至味淡。注意:肾虚有火，小便短涩者慎服。,经验方。,将前四味洗净后，放入砂锅，加水煎煮后去渣取汁，再以之冲泡红茶即成。,锁阳参茶,751,内科-阳痿早泄遗精
温补命门。,阳起石10g，红茶3g。,男子阳痿，女子宫冷不孕，女子性欲低下。,阳起石味咸，性温，为硅酸盐类矿物，具有温肾壮阳之效，主治男子肾阳虚衰所致阳痿、遗精、早泄、腰膝酸软及女性宫寒不孕、带下、癥瘕、崩漏等。《医学入门》谓其:“能助人阳气，主男子下虚阳衰乏。”本方代茶温饮，不拘时常服，冲饮至味淡。注意：阴虚火旺者禁服；且阳起石为矿物燥烈之品，不宜久服。,经验方。,将阳起石置无烟炉火中煅红，取出放黄酒内淬之（每50kg用酒10kg），晒干，碾细。放入砂锅，加水煎煮后去渣取汁，再以之冲泡红茶即成。,阳起石茶,752,内科-阳痿早泄遗精
补虚益精，止咳化痰。,冬虫夏草3g，红茶3g。,阳痿，遗精，自汗，盗汗，痰饮喘嗽，腰膝酸痛。,冬虫夏草出产在我国西南高寒地区，藏族同胞称之为“牙什托根布”，其名始见于吴仪洛《本草从新》（1757年），在明、清两代笔记体小说中，更是充满了传奇性的描述:“冬虫夏草，一物也。冬则为虫，夏则为草，虫形似蚕，色微黄，草形似韭，叶较细。入夏，虫以头入地，尾自成草，杂错于蔓草间，不知其为虫也；交冬，草渐萎黄，乃出地蠕蠕而动，其尾犹簌簌然带草而行。盖随气化转移，理有然者。”直到1842年，经过真菌学家伯克利的研究，才发现所谓“冬虫夏草”，乃是一种叫虫草菌的子囊菌寄生于蝙蝠蛾的幼虫上所形成的。中医认为其性平，味甘，具有较好的补肺益肾、止血化痰之功效。它具有扩张支气管、镇静、催眠和抗菌的药理作用，此外对实验动物的肠管、子宫的平滑肌有抑制作用。煎服，3~9g。可以本品与鸡、鸭、猪肉等同食，有补虚功效。可用于久咳虚喘、劳嗽咯血、阳痿遗精、腰膝酸痛等，还可用于病后体虚不复或自汗畏寒。本方每日1~2次，代茶温饮，冲饮至味淡。但要注意，有表邪者或表邪未尽者不宜用。,经验方。,将冬虫夏草洗净后，放入砂锅，加水煎煮后去渣取汁，再以之冲泡红茶即成。,冬虫夏草茶,753,内科-阳痿早泄遗精
补肾润肠。,锁阳5g，红茶3g。,肾虚所致阳痿、不孕、遗精、腰膝酸软，血枯便秘。,锁阳经盐炮制后，对正常和阳虚小鼠的睾丸、附睾和包皮腺的功能有明显促进作用。在锁阳水提物中，成熟大鼠附睾精子数量及存活率明显增加，精子的活动率增强。锁阳是治疗男性不育的常用药，还有增强动物免疫功能的作用，有清除自由基作用，从而具有抗衰老作用。此外，还具有预防动脉硬化的作用，抗炎、抗肿瘤的作用和润肠通便的作用。本方能补肾阳、益精血、润肠通便。代茶温饮，不拘时常服，冲饮至味淡。但需注意，泄泻及阳易举而精不固者忌服。,经验方。,将锁阳洗净后切细，与红茶放入杯中，用250ml沸水冲泡即成。或将切好的锁阳放入砂锅，加水煎煮后去渣取汁，冲泡红茶。,锁阳茶,754,内科-阳痿早泄遗精
补肾壮阳，涩精。,锁阳5g，龙骨3g，苁蓉3g，桑螵蛸3g，茯苓3g，红茶3g。,肾虚所致遗精、阳痿、遗尿、带下淋漓等。,锁阳能补肾阳、益精血、润肠通便；龙骨性平，味甘、涩，能镇静安神、收敛固涩、生肌敛疮；苁蓉补肾益精、润肠通便；桑螵蛸味甘、咸，性平，固精缩尿、补肾助阳；茯苓味甘、淡，性平，利水渗湿、健脾补中、宁心安神。诸药合用，补肾固涩。日常代茶温饮，不拘时常服。注意:阴虚火旺及大便泄泻者忌用。,经验方。,将前四味药材洗净后，切细，放入砂锅，加水煎煮后去渣取汁，再以之冲泡红茶即成。,锁阳龙骨茶,755,内科-阳痿早泄遗精
,绿茶5~15g，北五味子3~5g，蜂蜜25g。,久咳虚喘，梦遗滑精，遗尿尿频等。,李时珍在《本草纲目》中说:“酸咸入肝而补肾，辛苦入心而补肺，甘入中宫益脾胃。”《本草经疏》云:“五味子主益气者，肺主诸气，酸能收，正入肺补肺，故益气也。其主咳逆上气者，气虚则上壅而不归元，酸以收之，摄气归元，则咳逆上气自除矣。”本方代茶温饮，不拘时常服，冲饮至味淡。另外，夏季困乏、精神倦怠者可加党参15g，黄芪15g；消化不良、腹泻者可去蜂蜜，改绿茶为红茶。注意:大便干结不宜饮用。,经验方。,先将五味子文火炒至微焦，然后与绿茶同放入杯中，再加适量蜂蜜，用沸水冲泡片刻即成。,绿茶五味子汤,756,内科-阳痿早泄遗精
,杜仲5g，车前草3g，小茴香3g，山茱萸3g，花茶3g。,小便余沥，阴囊湿痒。,杜仲能补益肝肾、强筋骨，为治肝肾不足，腰膝酸痛或痿软无力之要药。《药典》载其能“补肝肾，强筋骨，安胎。用于肝肾不足，腰膝酸痛，筋骨无力，头晕目眩，妊娠漏血，胎动不安”。杜仲是名贵滋补药材，其有效成分中除了含有大量已知活性的药用成分外，还含有多种营养物质，这些营养物质是杜仲保健作用的重要物质基础。车前草清热利尿、凉血解毒，主治热结膀胱，小便不利，淋浊带下等。小茴香疏肝理气、温肾祛寒，且能止痛。山茱萸补益肝肾、涩精固脱，可治遗尿、尿频等。本方代茶温饮，不拘时常服，冲饮至味淡。阴虚火旺者慎服。,《本草汇言》。,将前四味药材洗净后，切细，放入砂锅，加水煎煮后去渣取汁，再以之冲泡花茶即成。,杜车茶,757,内科-前列腺疾病
,茴香5g，苍耳子3g，花茶3g。,睾丸肿痛。,茴香味辛性温，能入肾与膀胱经，暖丹田而祛冷气，善于疏肝理气、温肾祛寒而止痛。苍耳子味辛、苦，性温，能祛风止痛。本方代茶温饮，不拘时常服，冲饮至味淡。注意:苍耳为有毒植物，以果实为最毒，苍耳子使用须严格遵照医嘱，不可过量，过量易致中毒，引起呕吐、腹痛、腹泻等；血虚之头痛、痹痛忌服。,经验方。,将前两味药材洗净后，切细，放入砂锅，加水煎煮后去渣取汁，再以之冲泡花茶即成。,茴苍茶,758,内科-前列腺疾病
,何首乌5g，白芍3g，绿茶3g。,肝肾不足、心血亏损所致虚烦不眠、心悸不宁、头晕耳鸣，高血压、脑动脉硬化属肝肾阴虚者。,何首乌味苦、甘、涩，性微温，能补肝肾、益精血、解毒润肠。白芍味苦、酸，性微寒，能养血调经，常用于月经不调、经行腹痛、崩漏等妇科疾病；能养血柔肝、缓急止痛，用于肝气不和的胁肋脘腹疼痛，或四肢拘挛作痛；能平抑肝阳，用于肝阳上亢的头痛、眩晕等。两药合用，益肝肾、养心血。本方代茶温饮，不拘时常服，冲饮至味淡。注意:阳衰虚寒、湿盛中满及腹泻者忌用，白芍反藜芦。,经验方。,将何首乌、白芍洗净后，切细，放入砂锅，加水200ml煎煮5?10分钟后去渣取汁，再以之冲泡绿茶即成。,首乌芍茶,769,内科-眩晕
,天麻3~5g，绿茶lg。,头昏目眩，耳鸣口苦，惊恐，四肢麻木，手足不遂，肢体抽搐等。,天麻味甘，性平，归肝经，有息风止痉、平肝潜阳、祛风通络之功。天麻适合用于内风引起肝阳上亢所致的头晕。绿茶又称不发酵茶，它的特点是汤清叶绿，营养丰富，可以防治疾病，在这里起到辅助天麻的作用。本方代茶温饮，不拘时常服，冲饮至味淡。在未发病时，长期饮服，有较好的防治作用。注意:凡患者见津液衰少、血虚、阴虚等，均需慎用此茶。同时天麻不可与御风草根同用，否则有令人肠结的危险。,经验方。,将天麻切成薄片，与茶叶同放杯中，用沸水冲泡，温浸5分钟后饮服。,天麻茶,770,内科-眩晕
,鲜奶1杯，杭菊20朵，白糖适量。,脑力工作者及眼力工作者。,方中鲜奶是指牛奶脱离牛体24小时之内的牛奶，否则不能称之为“鲜”奶。鲜奶可以补充蛋白质、脂肪，还可以补钙以及养脑。杭菊花（杭菊）味辛、甘、苦，性微寒，归肺、肝经。其善疏风清热、清肝泻火，兼能益阴明目，故可用治肝经风热或肝火上攻所致目赤肿痛。本方代茶饮用，不拘时常用，每日可多服。此茶对缓解脑力劳动者的疲劳有很好的效果。,经验方。,将鲜奶加糖煮开，加入杭菊，再煮开；将奶菊茶倒入碗内，盖上片刻，滤去菊花及渣即可。可热饮，也可晾凉后放入冰箱中作为冷饮。,奶菊茶,771,内科-眩晕
,菊花50g，蜂蜜250g。,头痛，眩晕，咽喉肿痛，便秘等。,方中菊花是我国常用中药，具有疏风、清热、明目、解毒之功效，主要治疗头痛、眩晕、目赤等。现代药理研究表明，菊花具有治疗冠心病、降低血压、预防高血脂、抗菌、抗病毒、抗炎、抗衰老等多种药理活性。用菊花泡茶，气味芳香，可消暑、生津、祛风、润喉、养目、解酒。蜂蜜始载于《神农本草经》，又称“蜂糖”。《本草纲目》谓其:“入药之功有五，清热也，补中也，解毒也，润燥也，止痛也……能调和百药，而与甘草同功。”在此茶中蜂蜜起到调味、滋润的作用。本方代茶温饮，不拘时常服，冲饮至味淡。两药合用能起到润肺醒脑之效，常饮使人精神愉悦，青春常驻。糖尿病患者慎用。,经验方。,将菊花放入砂锅中，加水200ml，煎煮25分钟；稍凉后去渣取汁，加入蜂蜜，搅匀后饮用。,甜菊茶,772,内科-眩晕
,绿豆皮、扁豆皮各10g，茶叶5g。,头晕，目眩等。,方中绿豆皮又名绿豆壳、绿豆衣，味甘，性寒。《本草纲目》谓其:“解热毒，退目翳。”《随息居饮食谱》认为其能“清风热，去目翳，化斑疹，消肿胀”。扁豆皮味甘，性微温。其性味、功能、主治等和白扁豆基本相同，能健脾利水，但无壅滞之弊。由于茶叶有很多的功效，可以防治内外妇儿各科的很多病证，正如同唐代陈藏器所强调的那样，“茶为万病之药”，不但有对多科疾病的治疗效能，而且有良好的延年益寿、抗老强身的作用。本方代茶温饮，不拘时常服，能够很好地缓解头晕症状。,经验方。,绿豆皮、扁豆皮上火炒黄，与茶叶放入杯中，用250ml沸水冲泡即成。,防眩晕茶,773,内科-眩晕
,桑叶、菊花、枸杞子各10g，决明子6g。,头目眩晕等。,桑叶又名“神仙草”，日本人称桑叶茶为长寿茶。《本草纲目》中记载为:“桑箕星之精神也，蝉食之称文章，人食之老翁为小童。”中医认为其药效极其广泛，有止咳、去热、治疗头昏眼花、消除眼部疲劳、消肿、清血等功效。桑叶茶一般选用生态环境优越、无污染的优质嫩桑叶，经科学烘焙等工艺精制而成。桑叶、菊花为常用药对，均有外散风热、内清肝火之效。决明子清肝明目，枸杞子滋补肝肾。本方代茶温饮，不拘时常服，冲饮至味淡。本茶清香甘甜，鲜醇爽口，常饮此茶有利于养生保健、延年益寿、清热散风、平肝定眩。但此茶性略寒凉，肠胃不好的人不宜多饮。,《山东中草药手册》。,将上四味洗净后，切细，放入砂锅，加水煎煮10分钟，滤过取汁即成。,桑叶茶,774,内科-眩晕
,甘菊、霜桑叶、带心麦冬各9g，羚羊角1.5g，茯苓12g，广皮（广陈皮）、炒枳壳各4.5g，鲜芦根2支。,肝旺胃弱所致头晕目眩、口苦咽干、目赤红肿、迎风流泪、暧气吞酸、干呕恶心等。,方中茯苓味甘淡性平，入心、肺、脾经，具有渗湿利水、健脾和胃、宁心安神的功效。《神农本草经》谓其:“主胸胁逆气，忧恚惊邪恐悸，心下结痛，寒热烦满，咳逆，口焦舌干，利小便。”桑叶、菊花均有外散风热、内清肝火之效。广陈皮、炒枳壳理气健脾。带心麦冬益胃生津。羚羊角平肝息风、清肝明目。芦根清热泻火、生津止渴。本方代茶温饮，每日1剂。可清肝和胃，治肝旺胃弱引起的一系列症状。,《慈禧光绪医方选议》。,将芦根切碎，同余药共为粗末，放入砂锅，加水煎煮10分钟，滤过取汁即成,清热养阴茶,775,内科-眩晕
,鲜芦根90g，竹茹4.5g，焦楂（焦山楂）、炒谷芽各9g，橘红2.4g，霜桑叶6g。,头晕目眩，食欲不振等。,方中鲜芦根味甘，性寒，归肺、胃两经，有清热生津、除烦止呕、利尿之功。竹茹味甘微寒性润，善清热化痰而除烦。焦山楂除了有消食导滞的作用外，还善于治疗伴有积食的泻利。炒谷芽味甘性平，归脾、胃经，能消食和中、健脾开胃，和山楂同用功效更佳。橘红为芸香科植物橘及其栽培变种的干燥外层果皮，功能主要为散寒燥湿、理气化痰。《本草汇言》有记载:“橘皮，理气散寒，宽中行滞，健运肠胃，畅利脏腑，为脾胃之圣药也。”李东垣认为:“治病以调气为先，如欲调气健脾者，橘皮之功居其首焉。”霜桑叶具有疏散风热、平肝明目功效。本方代茶温饮，每日1剂。但脾胃虚寒者要慎用。,《慈禧光绪医方选议》。,将芦根切碎，同余药共为粗末，放入砂锅，加水煎煮10分钟，滤过取汁即成。,清热化湿茶,776,内科-眩晕
,白僵蚕不拘量，葱白6g，茶叶（以绿茶为佳）3g。,偏正头痛，头痛绵绵，久年未愈者，及中风口噤，小儿惊痫夜啼等。,白僵蚕为蚕蛾科昆虫蚕蛾的幼虫感染白僵菌而僵死的干燥全虫，微有腐臭气，味微咸。以条直肥壮、质坚、色白、断面光者为佳。能祛风解痉、化痰散结。《本草纲目》记载其:“散风痰结核，瘰疬，头风，风虫齿痛，皮肤风疮，丹毒作痒，痰疟症结，妇人乳汁不通，崩中下血，小儿疳蚀鳞体，一切金疮，疔肿风痔。”葱白性温味辛，功能发散风寒、助阳化气。再配以清热降火、清利头目的绿茶，共奏祛风止痛之功。每日1~2次。注意:无外邪为病者忌用此茶。,《太平圣惠方》。,将白僵蚕焙后研成细末，备用。每次取上末3g，与适量葱白和茶叶共置杯中，用沸水冲泡片刻即成。,僵蚕葱白茶,777,内科-头痛
,大黄、茶叶、黄酒各适量。,热厥头痛。,大黄味苦性寒，有攻积滞、清湿热、泻火、凉血、解毒等功效。为老牌泻下类中药，因其药性峻利，能推陈致新，好比国家能平定祸乱、安内攘外的一员虎将，故有“将军”之名号。其中茶叶作为调味辅助，还能够增强人体的免疫力。黄酒是中国的民族特产，又称绍酒。黄酒含有丰富的营养，有“液体蛋糕”之称。温饮黄酒可帮助血液循环，促进新陈代谢，具有补血养颜、活血祛寒、通经活络的作用，能有效抵御寒冷刺激，预防感冒。在此黄酒作为药引。本方代茶温饮，每日饮服1~2次，对治疗热厥引起的头痛有很好的效果。注意:饮用此茶宜病除即止，以防久服伤正。,《本草纲目》。,将大黄用黄酒炒3次，研细末，晒干后，瓷罐封贮，备用。每次取大黄末3~5g，用茶叶3g，以沸水冲泡片刻即成。,将军茶,778,内科-头痛
,香附子120g，川芎60g，腊茶适量。,偏正头痛连及目痛，或高血压头痛等。,此方中香附，性平，味辛微苦甘，具有理气解郁、调经止痛的功效。《本草正义》说它“最能调气”，“专治气结为病”；《本草述》认为它“于血中行气，则血以和而生，血以和生，则气有所依而健运不穷”。据现代药理研究，香附有镇痛、抗菌等作用。配伍能行气解郁、活血止痛的川穹，长于降火除烦、开郁行气的茶叶，合理气、祛风、活血、止痛为一体。本方代茶温饮，不拘时常服，冲饮至味淡。但需注意，阴虚阳亢及肝阳上亢者不宜应用，月经过多者、孕妇忌用。,《澹寮方》。,前两味焙干，研细末，拌匀备用。每日2次，每次取上末3g，与腊茶3g共置杯中，用沸水冲泡片刻即成。,香附川芎茶,779,内科-头痛
,甘菊花、川芎、荆芥穗、羌活、白芷、甘草各50g，防风36.5g，细辛25g，蝉壳、薄荷、白僵蚕各12.5g。,各种感冒所致的头痛鼻塞等。,菊花种类繁多，甘菊花最宜泡饮。本散即取其配以疏风解表的荆芥穗、川芎、羌活、白芷、甘草、防风、细辛、蝉壳（蝉蜕）、薄荷、僵蚕，使之具有较强的疏风解表、清利头目、通窍止痛的作用。每次10g，饭后用茶水调服，每日2次，效果甚佳。,《医部全录》。,以上十一味药拌匀，碎成细末，收藏瓷瓶内备用。,菊花茶调散,780,内科-头痛
,麝香2分，茶芽30g，川芎、细辛、荆芥、川乌、甘草各15g。,瘀血阻于脑络所致的顽固性头痛。,据《医部全录》记载:“麝香茶芽散，治诸般头痛，百药不效者。”方中麝香活血通窍止痛，茶芽清利头目，川芎、细辛、荆芥辛温走窜上行，通行头目诸经，川乌散寒止痛，甘草调和诸药，故能治疗瘀血阻于脑络所致的顽固性头痛。热性痛者忌服。,《医部全录》。,以上七味同碾成细末状，每次服用时取15g，加水1碗，煎沸5~10分钟，过滤去渣。,麝香茶芽散,781,内科-头痛
,菊花适量。,风热头痛或疮疡肿毒。,菊花为人们喜爱的盆景花卉，同时又是一味良好的中药。“菊花，八九月有，霜后渐干而不落。杭州城头所产紫背单瓣者，曰‘茶菊'，贡物也，不可多得。”这种菊花习惯上被称为杭菊，是菊花中的上品，其味甘性凉，气清香。每日饭后以此花3g，开水冲泡代茶服，有清利头目、消食利肝的作用。若是治疗风热头痛或疮疡肿毒者，则用量要大（一般15g）。,《调鼎集》。,秋季采摘紫背单瓣菊花，阴干，收藏备用。,菊花茶,782,内科-头痛
,柴胡5g，细辛0.5g，绿茶3g。,气瘀凝阻或头部内伤所致头痛。,柴胡味苦、辛，性微寒，具和解退热、疏肝解郁、升举阳气之功。细辛具有祛风散寒、通窍止痛、温肺化饮的功效。本方代茶温饮，不拘时常服，冲饮至味淡。注意:方中细辛有小毒，故临床用量不宜过大；气虚多汗、血虚头痛、阴虚咳嗽等忌服本茶。,经验方。,前两味洗净后切细，与绿茶放入杯中，用250ml沸水冲泡即成。,柴细茶,783,内科-头痛
,鲜棕榈叶30g，槐花10g。,防治高血压头痛。,鲜棕榈叶，《现代实用中药》记载:“用于高血压症，有预防脑溢血之功。”槐花味苦，性微寒，归肝、大肠经，入血敛降，体轻微散。具有凉血止血、清肝泻火的功效，主治肠风便血、痔血、血痢、尿血、血淋、崩漏、吐血、衄血、肝火头痛、目赤肿痛、喉痹、失音、痈疽疮疡。上两种药配伍，可起到清肝凉血的功效。本方代茶温饮，不拘时常服，冲饮至味淡。脾胃虚寒及阴虚发热而无实火者慎服。,经验方。,将鲜棕榈叶、槐花洗净，制成粗末，放入砂锅，加水煎煮后去渣取汁即成。,棕榈槐花茶,784,内科-头痛
,葛根30g。,防治高血压头痛。,葛根轻清升散，药性升发，升举阳气，鼓舞机体正气上升，津液布行，老少皆宜，特别适用于高血压、高脂血症、高血糖及偏头痛患者，更年期妇女，易上火人群，常吸烟饮酒者及女性滋容养颜、中老年人日常饮食调理等。本方代茶温饮，不拘时常服，冲饮至味淡。,经验方。,葛根洗净切薄片，放入砂锅，加水煎煮后去渣取汁即成。,葛根茶,785,内科-头痛
,升麻18g，生地15g，雨前茶12g，黄芩、黄连各3g，柴胡8g，白芷6g。,偏正头痛。,方中升麻味辛、微甘，性微寒，可发表透疹、清热解毒、升举阳气，常用于风热头痛、齿痛等的治疗。生地黄味甘，性寒，有养阴生津之效。雨前，即谷雨前，4月5日以后至4月20日左右采制，用细嫩芽尖制成的茶叶称“雨前茶”。黄芩、黄连皆苦寒，分别清泄上焦、中焦的实热。柴胡味苦，性微寒，为少阳经引经药，可疏散退热、升阳舒肝。白芷味辛，性温，为阳明经引经药，有祛风散寒、通窍止痛、消肿排脓、燥湿止带之效。本方代茶温饮，每日1剂。但需注意，阴虚阳浮，喘满气逆及麻疹已透之证忌服；服用过量可产生头晕、震颤、四肢拘挛等。,经验方。,上述药洗净，切细，与茶叶一起放入砂锅，加水煎煮后去渣取汁即成。,升麻三黄茶,786,内科-头痛
,白芷10g，白糖少许。,风湿头痛，症见头痛如裹，肢体倦重，胸闷食少，阴湿天气尤甚，小溲不利，或大便溏，苔白腻，脉濡。,方中白芷归肺、脾胃经，为阳明经引经药，可祛风散寒、通窍止痛。《本草求真》谓其:“通窍行表，为足阳明经祛风散寒主药，故能治阳明一切头面诸疾，如头目昏痛，眉棱骨痛。”白糖在此方中主要用于调味。白糖适宜肺虚咳嗽、口干燥渴、醉酒者以及低血糖患者。本方代茶温饮，不拘时常服，冲饮至味淡。注意:糖尿病患者不能食糖，痰湿偏重者、肥胖患者忌食。,《百病饮食自疗》。,将白芷洗净，切细，放入砂锅，加水煎煮后去渣取汁，调入白糖即成。,都梁茶,787,内科-头痛
,夏枯草10g，荷叶12g（或新鲜荷叶半张）。,肝肾阴虚风火上扰。平素常头痛目眩，或头晕耳鸣，突然发生口眼歪斜，舌强言謇，手足重滞，半身不遂，舌质红，苔黄，脉弦滑数。,《本草逢原》指出夏枯草“辛能散结，苦能除热，而癥结瘿气散矣。夏季煎汤代茶，用以解暑甚妙。白毛者，性寒味苦，专清肝火”。散结、除热、解暑、清肝是夏枯草功效的概括。全草含三萜皂苷，实验发现，夏枯草煎液给狗灌胃，有明显的降压作用，对肾性高血压的降压作用更为明显。此外，它还有抗菌作用。荷叶功能升清降浊、解暑。由于夏枯草主降，荷叶主升，两味合用，则肝火得降，清阳能升，对于风火上扰、肝阳上亢所致的头晕、目眩、目赤畏光等，用之甚宜。本方代茶温饮，不拘时常服，冲饮至味淡。,《百病饮食自疗》。,将夏枯草和荷叶洗净，切细，放入砂锅，加水煎煮后去渣取汁即成。,夏枯草荷叶茶,788,内科-头痛
,丹参5g，五味子3g，花茶3g。,神经衰弱。,丹参有活血祛瘀、凉血消痈、养血安神的功效。现代医学研究表明，丹参能扩张冠状动脉，增加冠脉流量，改善心肌缺血、心肌梗死和心脏功能，调节心律，并能扩张外周血管，改善微循环；能提高机体耐缺氧能力；有抗凝血，促进纤溶，抑制血小板凝聚，抑制血栓形成的作用；能降低血脂，抑制冠脉粥样硬化形成。五味子宁心安神，用于心悸、失眠、多梦等。五味子含有丰富的有机酸、维生素、类黄酮、植物固醇及有强效复原作用的木酚素（例如五味子醇甲、五味子乙素或五味子脂素），它也是兼具益气、生精、安神三大补益作用的少数药材之一，能益气强肝、增进细胞排除废物的效率、供应更多氧气、营造和运用能量、提高记忆力及性持久力。本方代茶温饮，不拘时常服，冲饮至味淡。方中丹参反藜芦，孕妇慎用。五味子酸涩收敛，凡表邪未解，内有实热，咳嗽初起，麻疹初发均不宜用。,经验方。,将丹参、五味子洗净，切细，放入砂锅，加水煎煮后去渣取汁，再用此汁冲泡花茶即成。,五丹茶,789,内科-神经衰弱
,绿茶1g，鸡蛋1~2只，蜂蜜25g。,神经症。,绿茶，能清心除烦、解毒醒酒、生津止渴、降火明目。鸡蛋，能健脑益智、保护肝脏。加入蜂蜜，能健脾解毒。本方早餐后食用，日服1剂，饮汤食蛋，45日为1疗程。另外，肺结核患者可加百合15g。,经验方。,将绿茶与鸡蛋共放入砂锅中，加入适量蜂蜜，加水煎煮片刻即成。,茶蛋蜂蜜汤,790,内科-神经衰弱
,浮小麦200g，大枣30g，莲子25g，生甘草10g，绿茶1g。,癔症。,本方是由张仲景治疗脏躁的著名方剂甘麦大枣汤加莲子、绿茶而成。清代徐彬在《金匮要略论注》中云：“小麦能和肝阴之客热，而养心液，且有消烦利溲止汗之功，故以为君；甘草泻心火而和胃，故以为臣；大枣调胃，而利其上壅之燥，故以为佐。盖病本于血，必为血主，肝之子也，心火泻而土气和，则胃气下达。肺脏润，肝气调，燥止而病自除也。补脾气者，火为土之母，心得所养，则火能生土也。”再配以莲子的养心安神、补脾益肾，借以绿茶的馨香宣散，共奏养心安神、健脾、止汗之功。本方代茶温饮，日服1剂。但是不宜用于痰湿内盛者。另外，干咳、咽干口燥者可改方为浮小麦25g，冰糖25g，甘草10g；贫血、心悸者可去甘草，改用蜜炙甘草9g；胃有振水音、尿少、便溏者可去浮小麦，改用茯苓打粉15g；水肿者可去浮小麦，甘草改用薏苡仁30g，茯苓皮25g；再生障碍性贫血者可加枸杞子15g。,经验方。,将前四味洗净，放入砂锅，加水煎煮至浮小麦熟，之后滤过取汁，冲泡绿茶即成。,绿茶小麦汤,791,内科-神经衰弱
,绿茶0.5~1g，莲子25~30g（或用怀山药代）。,心烦失眠等病。,莲子，《本草纲目》谓其:“交心肾，厚肠胃，固精气，强筋骨，补虚损，利耳目，除寒湿，止脾泄久痢，赤白浊，女人带下崩中诸血病。”古人说，吃莲子能返老还童、长生不老。这一点固不可信，但关于其在养心安神、健脑益智、消除疲劳等方面的药用价值，历代医药典籍多有记载。现代药理研究也证实，莲子有镇静、强心、抗衰老等多种作用。本方代茶温服，日服1剂。注意:实热积滞或大便秘结者不宜内服。另外，食欲不振、心悸者加炙甘草5g；慢性气管炎、大便溏烂者可加炒薏苡仁9~15g。,经验方。,将莲子洗净，放入砂锅，加水煎汤，之后滤过取汁，冲泡绿茶即成。,绿茶莲子汤,792,内科-神经衰弱
